,file,Name,Parties,First Party,Second Party,Agreement Date,Effective Date,Expiration Date,Notice Period,Anti-Assignment,Amount,Condition for termination of contract,Limit the ability of a party to transfer the license being granted to a third party,File,first_party_location,second_party_location
419,TEARDROPGOLFCO_10_23_1996-EX-10.12-ENDORSEMENT AGREEMENT.docx,Endorsement Agreement,"['Teardrop Putter Corporation', 'Consolidated Artists Inc.']",Teardrop Putter Corporation,Consolidated Artists Inc.,"January 1, 1996","January 1, 1996","December 31, 1998",30 days,Yes,Varies based on performance and sales,"The contract can be terminated under various conditions, including insolvency, bankruptcy, non-payment, death of Ogle, or conviction of a felony involving moral turpitude.",Yes,TEARDROPGOLFCO_10_23_1996-EX-10.12-ENDORSEMENT AGREEMENT.docx,South Carolina,British Isles
420,TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement.docx,TRANSPORTATION SERVICE AGREEMENT,"['Great Lakes Gas Transmission Limited Partnership', 'ANR PIPELINE COMPANY']",Great Lakes Gas Transmission Limited Partnership,ANR PIPELINE COMPANY,"December 14, 2015","November 01, 2016","October 31, 2017",,Yes,,"The contract does not specify conditions for termination, but it mentions that obligations prior to termination remain in effect.",Yes,TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement.docx,Null,Delaware
421,ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.docx,ENDORSEMENT,"['Thrivent Life Insurance Company', 'Thrivent Financial for Lutherans']",Thrivent Life Insurance Company,Thrivent Financial for Lutherans,,"July 1, 2019",,60 days,Yes,,"If you do not make the extra payment within 60 days from the date we notify you of your share of the deficiency, the amount will be charged as an indebtedness against the contract with interest compounded at the rate of 5% per year.",Yes,ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.docx,Appleton,Null
422,TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT.docx,SERVICES AGREEMENT,"['TransMontaigne Management Company, LLC', 'TLP Management Services, LLC']","TransMontaigne Management Company, LLC","TLP Management Services, LLC","August __, 2019","August __, 2019",,5 days,Yes,1%,This Agreement may be terminated by (a) the written agreement of the Parties or (b) by either Party upon 5 days written notice to the other Party.,Yes,TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT.docx,Delaware,Delaware
423,SUNTRONCORP_05_17_2006-EX-10.22-MAINTENANCE AGREEMENT.docx,MAINTENANCE AGREEMENT,"['THAYER EQUITY INVESTORS IV, L.P.', 'U.S. BANK NATIONAL ASSOCIATION']","THAYER EQUITY INVESTORS IV, L.P.",U.S. BANK NATIONAL ASSOCIATION,March 28th 2006,,,,Yes,"$5,000,000","The agreement will terminate upon the earliest to occur of: (i) the date on which the aggregate Required Capital Contributions paid by the Investor, and received by the Borrowers, in accordance with the terms of this Agreement equal $5,000,000; (ii) the Release Date (as defined in Section 19) or (iii) payment in full, in cash, of all Obligations and the termination of the Financing Agreement.",Yes,SUNTRONCORP_05_17_2006-EX-10.22-MAINTENANCE AGREEMENT.docx,Null,Minnesota
424,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1.docx,AGREEMENT,"['Kiosk Concepts, Inc.', 'The Grilled Cheese Truck, Inc.']",Kiosk,Truck,,2015,,six (6) months,Yes,"$10,000","The contract can be terminated due to bankruptcy, insolvency, or violation of terms and conditions.",Yes,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1.docx,New York,Nevada
425,STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT.docx,CONSTRUCTION AND MAINTENANCE AGREEMENT,"['ABS Telecom plc', 'AT&T Corp.', 'BARAK I.T.C', 'BC TEL', 'Belgacom S.A.', 'BellSouth International, Inc.', 'British Telecommunications pIc', 'Cable & Wireless Global Network Organisation Limited', 'Cable & Wireless, Inc.', 'Carrier 1 AG', 'COMPANHIA PORTUGUESA RADIO MARCONI, SA.', 'Com Tech International Corporation', 'CYPRUS TELECOMMUNICATIONS AUTHORITY', 'Deutsche Telekom AG', 'Energis Communications Limited', 'Emirates Telecommunications Corporation - ETISALAT', 'France Telecom', 'GTE Intelligent Network Services Incorporated', 'Hellenic Telecommunications Organisation S.A.', 'IXC Communications, Inc.', 'IXNET Limited', 'Japan Telecom Co., Ltd.', 'Kokusai Denshin Denwa Americas Inc.', 'KPN Telecom B.V', 'MCI International Inc.', 'NTT Worldwide Network Corporation', 'OY FINNET International AB', 'Pacific Gateway Exchange', 'Pacific Gateway Exchange Inc.', 'Rostelecom', 'RSL Communications Limited', 'Singapore Telecommunications Limited', 'Slovenske Telecomunicatie s.e.', 'Sonera Ltd.', 'Sprint Communications Company L.P.', 'STAR Telecommunications Inc.', 'StarHub', 'STARTEC GLOBAL COMMUNICATIONS CORPORATION', 'Swisscom Ltd', 'Swisscom North America Inc.', 'Tele 2 AB', 'TeleBermuda International Limited', 'Tele Danmark A/S', 'Telef6nica de Espana, S.A.', 'Teleglobe USA', 'Telenor Global Services AS', 'Telesur', 'TELIA AB (publ)', 'Telia North America Inc.', 'Transoceanic Communications Incorporated', 'Turk Telekomunikasyon A.S.', 'Ultrallne (Bermuda) Limited', 'VIATEL', 'Videsh Sanchar Nigam Limited']",,,"September 2, 1998","September 2, 1998",,one year's,Yes,,The Agreement may be terminated at any time during the Initial Period by unanimous written agreement of the Parties.,Yes,STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT.docx,Germany,Null
426,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.docx,Agreement,"['Todos Medical Ltd.', 'Care G. B. Plus Ltd.']",Todos,Reseller,"December 20, 2018","December 20, 2018",,sixty (60) days,Yes,"US$[ ] and
US$[ ]","A party may terminate this Agreement upon the occurrence of a material breach by the other party that continues for 30 days after written notice, or if the other party is declared insolvent or subject to bankruptcy proceedings for 90 consecutive days.",Yes,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.docx,Israel,Israel
427,TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT.docx,TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT,"['MEDICAL MANAGER MIDWEST, INC.', 'MTS, INC.']","MEDICAL MANAGER MIDWEST, INC.","MTS, INC.","March 1, 1998","March 1, 1998",,thirty days,Yes,,MMMW may cancel this Agreement if the Customer does not remit payment according to the terms of MMMW's invoice.,Yes,TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT.docx,South Bend,Louisville
428,TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT.docx,Cooperation Agreement,"['Nanjing Tuniu Technology Co., Ltd.', 'Beijing Tuniu Technology Co., Ltd.']","Nanjing Tuniu Technology Co., Ltd.","Beijing Tuniu Technology Co., Ltd.","January 24, 2014","January 24, 2014",expiration date of the operation term of Party B,,Yes,amount of profits gained by Party A or its subsidiaries,"The agreement can be terminated upon the occurrence of certain circumstances, such as Party B's right to terminate without Party A's consent, bankruptcy of either party, or Party B's failure to provide services due to force majeure for over three years.",Yes,TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT.docx,Nanjing,Beijing
429,"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.docx",SERVICE AGREEMENT,"['Theravance Biopharma UK Limited', 'BRETT HAUMANN']",Theravance Biopharma UK Limited,BRETT HAUMANN,"1 April, 2020",1 April 2020,,6 weeks’ notice,,"£448,903 per annum",The Company may terminate the Executive’s employment under this Agreement with immediate effect without notice and with no liability to make any further payment to the Executive (other than in respect of amounts accrued at the Termination Date) if in the reasonable opinion of the Company the Executive is guilty of gross misconduct or commits any serious or repeated breach or non-observance of any of the provisions of this Agreement or refuses to comply with any reasonable and lawful directions of the Company.,Yes,"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.docx",United Kingdom,Null
430,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.docx,Agreement,"['theglobe.com, Inc.', 'The Boxlot Company']","theglobe.com, Inc.",The Boxlot Company,"March ___, 1999","March ___, 1999",,15 days,Yes,***,"The contract can be terminated for failure to perform, change of control, changes in Boxlot's business model, failure to grow, or force majeure.",Yes,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.docx,New York,San Diego
431,TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT.docx,Sponsorship Agreement,"['Tickets.com, Inc.', 'MP3.com, Inc.']","Tickets.com, Inc.","MP3.com, Inc.","February 17, 1999","February 17, 1999",one (1) year subsequent to the Effective Date,thirty (30) days,Yes,[***],Tickets may terminate this Agreement for any reason upon thirty (30) days' notice to MP3.com at any time prior to the expiration of sixty (60) days subsequent to the Effective Date.,Yes,TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT.docx,CA,CA
432,"SUCAMPOPHARMACEUTICALS,INC_11_04_2015-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.docx",Agreement,"['Sucampo Pharmaceuticals, Inc.', 'Sucampo Pharma, LLC.', 'R-Tech Ueno, Ltd.']","R-Tech Ueno, Ltd.","Sucampo Pharma, LLC.","August 26, 2015",,,,Yes,,This Agreement may be terminated prior to the end of the Offer Period by Acquiror if a condition for withdrawal of the Offer has occurred.,Yes,"SUCAMPOPHARMACEUTICALS,INC_11_04_2015-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.docx",Japan,Null
433,ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT.docx,SUPPLY AGREEMENT,"['CREMER OLEO GmbH & Co KG', 'Ultragenyx Pharmaceutical Inc']",CREMER OLEO GmbH & Co KG,Ultragenyx Pharmaceutical Inc,"November 19 th, 2012","November 19 th, 2012",,three calendar months,Yes,€[***] per kilogram,"If a Party materially breaches an obligation under this Agreement and does not cure such breach within sixty (60) days of receiving notice of such breach from the non-breaching Party, the non-breaching Party may terminate this Agreement immediately upon written notice to the breaching Party.",Yes,ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT.docx,Germany,America
434,UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT.docx,MAINTENANCE AGREEMENT,"['Universal Access, Inc.', 'CityNet Telecommunications, Inc.']","Universal Access, Inc.","CityNet Telecommunications, Inc.","July 23, 2003","July 23, 2003",,180 days,No,"$40,000 per month",Either party may terminate this Agreement at any time without liability by providing one hundred eighty (180) days written notice to the other party.,Yes,UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT.docx,Delaware,Delaware
435,"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement.docx",Strategic Alliance Agreement,"['Turnkey Capital Inc.', 'A Seminole Indian Company']",Turnkey Capital Inc.,A Seminole Indian Company,30th day of June 2017,,,,Yes,,"This Agreement may be terminated early if mutually agreed to by both parties in writing, or for cause, which is defined as conviction of either party of a criminal offense, actions in bad faith, and knowing or intentional misconduct, failure to perform as determined by SIC, or a material breach of this Agreement.",Yes,"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement.docx",Florida,Florida
436,UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.docx,Business Affiliate Agreement,"['Dr. George D. Green', 'UNION DENTAL CORP.']",Dr. George D. Green,UNION DENTAL CORP.,"January 28, 2005","October 15, 2004",,thirty (30) day,Yes,,"The agreement can be terminated by either party with a 30-day prior written notice or immediately by UDC under certain conditions such as material breach of agreement, violation of law, or if services would result in violation of law.",Yes,UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.docx,Null,Florida
437,"UNITEDNATIONALBANCORP_03_03_1999-EX-99-Outsourcing Agreement with the BISYS Group, Inc..docx",Outsourcing Agreement,"['United National Bancorp', 'BISYS Group, Inc.']",United National Bancorp,"BISYS Group, Inc.","February 18, 1999",,,,,,The provided text does not contain the conditions for termination of the contract.,,"UNITEDNATIONALBANCORP_03_03_1999-EX-99-Outsourcing Agreement with the BISYS Group, Inc..docx",NJ,Null
438,TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.docx,DEVELOPMENT AGREEMENT,"['BP AMERICA PRODUCTION COMPANY', 'TRUE NORTH ENERGY CORP.']",BP AMERICA PRODUCTION COMPANY,TRUE NORTH ENERGY CORP.,"January 1, 2007","January 1, 2007",one (1) year from the Rig Release Date,one (1) year,Yes,"FOURTEEN MILLION, EIGHT HUNDRED SIXTY TWO THOUSAND DOLLARS ($14,862,000)","The agreement shall terminate one (1) year from the Rig Release Date, if such has not been terminated sooner pursuant to the provisions hereof.",Yes,TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.docx,Texas,Texas
439,SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.docx,Agreement,"['D2 Technologies, Inc.', 'Summa Four Inc.']","D2 Technologies, Inc.",Summa Four Inc.,"August 4, 1997","August 4, 1997",,ninety (90) days,Yes,"$1,400,000","If either party defaults in the performance of any of its material obligations hereunder and if such default is not corrected within thirty (30) days after written notice thereof by the other party, then the nondefaulting party, at its option, may, in addition to any other remedies it may have, terminate this Agreement by giving written notice of termination to the defaulting party.",Yes,SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.docx,California,Hampshire
440,URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT.docx,COOPERATION AGREEMENT,"['JANA Partners LLC', 'URS Corporation']",JANA Partners LLC,URS Corporation,"March 13, 2014","March 27, 2014","30 days prior to the deadline by which a shareholder must give notice to the Company of its intention to nominate a director
for election at or bring other business before the 2015 Annual Meeting under the Company’s By-Laws",three (3) business days,Yes,,"The Agreement shall terminate on the expiry of the Cooperation Period, or if either party fails to perform or otherwise fulfill its obligations and does not remedy such failure within three (3) business days following written notice.",Yes,URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT.docx,Null,San Francisco
441,USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT.docx,AGREEMENT,"['OXBOW CARBON & MINERALS LLC', 'GLOBAL ENERGY, INC.']",Oxbow,Global Energy,"December 21, 2006","December 22, 2006",,thirty (30) days,Yes,"$5,000,000.00","Either Party may terminate this Agreement by written notice to the other Party in the event of the following: Material nonperformance by the other Party of any provisions set forth in this Agreement which is not cured within thirty (30) days after receipt of notice thereof from the Party not in default; or The filing by or against the other Party of a petition or application in any proceeding relating to such other Party as debtor under any bankruptcy or insolvency law of any jurisdiction; provided that in the event of an involuntary bankruptcy or insolvency proceeding, such other Party shall have a sixty (60) day period in which to obtain dismissal or withdrawal of such petition or application.",Yes,USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT.docx,Florida,Ohio
442,TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT.docx,AGREEMENT,"['Advantage Telecommunications Ltd.', 'Cable & Wireless Global Network Limited', 'Cable & Wireless HKT international Limited', 'China Telecom', 'China United Telecommunications Corporation', 'Chunghwa Telecom Co., Ltd.,', 'Concert Global Network Services, Ltd.', 'Global One Communications Network, Inc. ', 'Japan Telecom Co., Ltd. ', 'KDD Corporation ', 'Korea Telecom ', 'KPN Telecom B.V. ', 'Layer 2 Communications Group Ltd. ', 'MCI International Telecommunications.  Inc. ', 'Metromedia Fiber Network Services, Inc. ', 'New Century InfoComm Ltd., Preparatory Office', 'NTT Communications Corporation ', 'Onelink Cable Network Limited ', 'Philippine Long Distance Telephone Company', 'Singapore Telecommunications Limited ', 'StarHub Pte Ltd ', 'Taiwan Fixed Network Co., Ltd.  Preparatory Office ', 'Teleglobe USA Inc. ', 'Telekom Malaysia Berhad (128740-P) ', 'Telstra Global Networks Limited', 'Williams Communications, Inc.,', 'APT Satellite Telecommunications Limited', 'Bayan Telecommunications, Inc. ', 'China Netcom Corporation Ltd. ', 'The Communications Authority of Thailand ', 'CTI International Limited ', 'Dacom Corporation ', 'edge2net Inc. ', 'Eastern Telecommunications Philippines, Incorporated', 'Global Access Ltd. ', 'Globe Telecom, Inc. ', 'GNG Networks. Inc. ', 'GTE Intelligent Network Service Incorporated', 'PT Indosat (Persero) Tbk ', 'Maxis International Sdn.  Bhd ', 'New World Telephone Limited ', 'NTT Com Asia Ltd. ', 'Onse Telecom Corporation ', 'Telia AB (publ) ', 'TT dotCom Sdn Bhd ']",Advantage Telecommunications Ltd.,Cable & Wireless Global Network Limited,"April 18th, 2000","April 18th, 2000",,one (1) year,Yes,,"Any Party may terminate its participation in this Agreement at the end of the Initial Period or any time thereafter by giving not less than one (1) year’s prior notice thereof, in writing, to the other Parties.",Yes,TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT.docx,Null,Null
443,TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT.docx,AGREEMENT,"['SYSTEMS APPLICATIONS PRODUCTS (AFRICA) (PTY) LIMITED', 'TELKOM SOUTH AFRICA LIMITED']",SYSTEMS APPLICATIONS PRODUCTS (AFRICA) (PTY) LIMITED,TELKOM SOUTH AFRICA LIMITED,March 2001,effective date,,30 days,Yes,"US$5, 000, 000, 00",The agreement can be terminated by either party with a 30-day written notice or if either party breaches a material obligation and fails to remedy it within 20 days of receiving written notice.,Yes,TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT.docx,Sandton,Pretoria
444,"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT.docx",JOINT VENTURE AGREEMENT,"['Aizu Fujitsu Semiconductor Limited', 'Fujitsu Semiconductor Limited', 'Transphorm, Inc.']",Aizu Fujitsu Semiconductor Limited,Fujitsu Semiconductor Limited,"May 23, 2017",Initial Closing occurs,,thirty (30) days,Yes,,"The agreement may be terminated prior to the effective date by mutual written consent, by either party if the effective date has not occurred by a certain deadline, upon the issuance of an order preventing the consummation of the sale of shares, or upon a breach of any representation, warranty, covenant, or agreement by either party.",Yes,"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT.docx",Japan,USA
445,VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT.docx,JOINT VENTURE CONTRACT,"['Baoding Fengfan Group Limited Liability Company', 'Valence Technology, Inc.']",Baoding Fengfan Group Limited Liability Company,"Valence Technology, Inc.","November 8, 2002",the date on which this Contract and the Articles of Association have been approved by the Examination and Approval Authority,,six (6) months,Yes,"Twenty-Nine Million Nine Hundred Thousand United States Dollars (US$29,900,000)",Each Party shall have the right to terminate this Contract prior to the expiration of the Contract Term by written notice to the other Party if any of the following events occur,Yes,VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT.docx,China,USA
446,UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.docx,AFFILIATE OFFICE AGREEMENT,"['NETWORK 1 FINANCIAL, INC.', 'Payment Data Systems, Inc.']","NETWORK 1 FINANCIAL, INC.","Payment Data Systems, Inc.",______________________,,,30 days,Yes,surplus funding amount after costs noted in Exhibit A,"The Agreement may be terminated prior to the conclusion of the Term by giving written notice of termination for various reasons, including default, insolvency, changes in fees, or cause, as defined in the agreement.",Yes,UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.docx,Virginia,Nevada
447,VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.docx,Agreement,"['American International Group, Inc.', 'American General Life Insurance Company']","American International Group, Inc.",American General Life Insurance Company,"February 18, 2014","February 18, 2014",,thirty (30) days,Yes,,"AIG shall have the absolute right to terminate this Agreement upon thirty (30) days’ prior written notice to the Company, which notice shall state the effective date of termination (the “Termination Date”).",Yes,VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.docx,Delaware,Texas
448,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.docx,AGREEMENT,"['Skype Communications, S.A.', 'Skype Technologies, S.A.', 'TOM Online (BVI) Limited', 'TOM Online Inc.', 'Tel-Online Limited']","Skype Communications, S.A.","Skype Technologies, S.A.",August 22nd 2005,August 22nd 2005,,sixty (60) days,Yes,50%,"Any party to this Agreement shall have the right to terminate this Agreement during the Term by giving notice to another party to this Agreement or to any party that is not an Affiliate of the terminating party (collectively, “Defaulter” ): (i) if a petition is presented or a proceeding is commenced or an order is made or an effective resolution is passed for the winding-up, insolvency, administration, reorganisation, reconstruction, dissolution or bankruptcy of the Defaulter or for the appointment of a liquidator, receiver, administrator, trustee or similar officer of the Defaulter or of all or any part of its business or assets; (ii) if the Defaulter is unable or admits its inability to pay its debts as they fall due or enters into any composition or other arrangement with its creditors or is declared or becomes bankrupt or insolvent; (iii) if a creditor takes possession of all or any part of the business or assets of the Defaulter or any execution or other legal process is enforced against the business or any substantial asset of the Defaulter and is not discharged within 90 days (iv) any procedure or step is taken in any jurisdiction analogous to any of the matters referred to in this clause; (v) if the Defaulter ceases to carry on its business or any substantial part thereof or if the Defaulter disposes of or threatens to dispose of or any governmental or other authority expropriates or threatens to expropriate all or any substantial part of its business or assets or displaces or threatens to displace the management of the Defaulter; (vi) if the Defaulter or any Affiliate of the Defaulter is in material breach of its obligations hereunder or under any Transaction Document and such breach, if capable of remedy, has not been remedied at the expiry of 30 days following written notice to that effect having been served on the Defaulter by the other Shareholder indicating the steps required to be taken to remedy the failure; (vii) if the Defaulter or any Affiliate of the Defaulter repeats or continues (after written warning) to breach its obligations hereunder or under any Transaction Document (such breach, having not been remedied within 30 days following written notice to that effect having been served on the Defaulter by the other Shareholder indicating the steps required to be taken to remedy the failure); and/or (viii) if the Parties have consummated a transaction whereby Skype has purchased all of the Shares (as defined in the Deed) of Company held by Online BVI or its Affiliates pursuant to the terms of the Deed.",Yes,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.docx,Luxembourg,PRC
449,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.docx,Agreement,"['The TUBE Music Network, Inc.', 'Tribune Broadcasting Company']",Network,Affiliate,"March 6, 2006","March 6, 2006","March 31, 2011",six (6) months,Yes,fifteen percent (15%),"The contract can be terminated if either party is in material breach of the agreement, with a 30-day notice and cure period, or if Network decides to discontinue the Service entirely with a 90-day notice.",Yes,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.docx,Florida,Delaware
450,TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT.docx,OUTSOURCING AGREEMENT,"['TRI CITY NATIONAL BANK', 'MARSHALL & ILSLEY CORPORATION']",TRI CITY NATIONAL BANK,MARSHALL & ILSLEY CORPORATION,"February 16, 1998","February 16, 1998",eighth anniversary of the Commencement Date,six (6) months,Yes,REDACTED,"The agreement can be terminated for convenience, cause, or following a change in control of the customer.",Yes,TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT.docx,Wisconsin,Wisconsin
451,"VAPOTHERM, INC. - Manufacturing and Supply Agreement.docx",Agreement,"['VAPOTHERM, INC.', 'MEDICA S.p.A.']","VAPOTHERM, INC.",MEDICA S.p.A.,"January 1st, 2013",,,90 days,Yes,,"The agreement may be terminated by either party with a 90-day written notice before the end of the initial term or any renewal term, or under specific conditions such as breach of contract, insolvency, or force majeure events.",Yes,"VAPOTHERM, INC. - Manufacturing and Supply Agreement.docx",Maryland,Italian
452,"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT.docx",Amendment,"['Veoneer AB', 'Veoneer US, Inc.', 'Nissin Kogyo Co., Ltd.', 'Nissin Kogyo Holdings USA, Inc.', 'Zhongshan Nissin Industry Co., Ltd.']",Veoneer Parties,Nissin Parties,"October 30, 2019","October 30, 2019",,,Yes,,The JV Agreement shall terminate in its entirety with respect to the Veoneer Parties effective as of the later of the VNBJ Closing and the VNBZ Closing.,Yes,"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT.docx",Sweden,Japan
453,VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.docx,Agreement,"['VerticalNet, Inc. (VNI)', 'VerticalNet Enterprises LLC, formerly known as Tradeum, Inc. which d/b/a VerticalNet Solutions (VNE)', 'Converge, Inc. (Converge)']",Vert,Converge,"October 9, 2001","October 1, 2001","March 31, 2003",10 Business Days,Yes,"Four and One-Half Million Dollars ($4,500,000)","The contract can be terminated upon the occurrence of an Event of Default by either party, including insolvency, bankruptcy, breach of material provisions, or failure to make payments.",Yes,VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.docx,Pennsylvania,Massachusetts
454,VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT.docx,SUPPLY AGREEMENT,"['MEDIWOUND LTD.', 'VERICEL CORPORATION']",VERICEL CORPORATION,MEDIWOUND LTD.,"May 6, 2019","May 6, 2019",,[***],Yes,[***],"Subject to the provisions of Article 10 below, either Party may terminate this Agreement in its entirety if the other Party materially breaches a material provision and does not cure such breach, or does not take reasonable steps required under the circumstances to cure such breach going forward, within [***] after receiving notice of the breach.",Yes,VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT.docx,Michigan,Israel
455,VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT.docx,Intellectual Property Agreement,"['NMS COMMUNICATIONS CORP.', 'VERSO BACKHAUL SOLUTIONS, INC.']",NMS COMMUNICATIONS CORP.,"VERSO BACKHAUL SOLUTIONS, INC.","December 20, 2007",,,,,,"This Intellectual Property Agreement is subject in all respects to the terms and conditions of the Asset Purchase Agreement and is intended only
to document the assignment of the Assigned Intellectual Property.",,VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT.docx,Delaware,Georgia
456,UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.docx,Agreement,"['PFIZER INC.', 'UPJOHN INC.']",PFIZER INC.,UPJOHN INC.,[ ●],[●],,twelve (12) months,Yes,,"Either Party may terminate this Agreement and the applicable Facility Addendum, on a Product-by-Product basis, with respect to a particular Product, upon written notice to the other Party in the event of a material breach by the other Party of any term of this Agreement or Facility Addendum with respect to such Product, which breach remains uncured for ninety (90) calendar days following written notice to such breaching Party of such material breach.",Yes,UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.docx,Null,Null
